episode,timestep,reward
95,2000,20.9368
190,4000,20.9684
259,6000,28.9855
328,8000,29.1594
374,10000,42.3696
412,12000,53.3947
430,14000,99.2778
456,16000,86.0769
470,18000,133.5714
484,20000,146.1429
497,22000,154.4615
507,24000,187.3
518,26000,180.3636
529,28000,190.1818
541,30000,166.5
552,32000,184.4545
560,34000,259.625
567,36000,275.5714
574,38000,259.8571
581,40000,292.0
585,42000,477.75
590,44000,421.6
595,46000,383.2
600,48000,394.2
605,50000,408.4
611,52000,376.8333
615,54000,442.25
621,56000,369.1667
625,58000,442.25
629,60000,476.25
633,62000,500.0
637,64000,500.0
641,66000,500.0
645,68000,500.0
649,70000,489.25
653,72000,500.0
658,74000,438.6
662,76000,500.0
666,78000,500.0
670,80000,500.0
674,82000,500.0
678,84000,492.25
683,86000,431.0
687,88000,424.75
692,90000,440.4
696,92000,455.5
702,94000,353.3333
707,96000,410.4
711,98000,467.5
715,100000,479.25
722,102000,299.2857
728,104000,347.1667
732,106000,461.75
736,108000,476.5
741,110000,494.2
745,112000,416.75
749,114000,500.0
754,116000,447.0
759,118000,344.2
763,120000,500.0
768,122000,472.8
772,124000,423.5
777,126000,379.6
783,128000,340.3333
787,130000,487.75
792,132000,456.8
796,134000,427.25
800,136000,500.0
805,138000,445.4
809,140000,500.0
813,142000,500.0
817,144000,500.0
821,146000,500.0
825,148000,500.0
830,150000,403.4
834,152000,467.0
838,154000,500.0
842,156000,500.0
847,158000,407.4
851,160000,500.0
855,162000,500.0
859,164000,500.0
863,166000,500.0
868,168000,428.6
872,170000,500.0
876,172000,500.0
880,174000,500.0
884,176000,500.0
888,178000,500.0
892,180000,500.0
